train/global_step,GPT2_V32_350k_4E_xLAN - legal piece moves accuracy,GPT2_V32_350k_4E_xLAN - hard position accuracy,GPT2_V32_350k_4E_xLAN - average correct plies,GPT2_V31_350k_4E_xLANplus - legal piece moves accuracy,GPT2_V31_350k_4E_xLANplus - hard position accuracy,GPT2_V31_350k_4E_xLANplus - average correct plies,GPT2_V30_71k_4E_xLANplus - legal piece moves accuracy,GPT2_V30_71k_4E_xLANplus - hard position accuracy,GPT2_V30_71k_4E_xLANplus - average correct plies,GPT2_V29_19k_4E_xLANplus - legal piece moves accuracy,GPT2_V29_19k_4E_xLANplus - hard position accuracy,GPT2_V29_19k_4E_xLANplus - average correct plies,GPT2_V28_71k_4E_xLAN - legal piece moves accuracy,GPT2_V28_71k_4E_xLAN - hard position accuracy,GPT2_V28_71k_4E_xLAN - average correct plies,GPT2_V27_19k_4E_xLAN - legal piece moves accuracy,GPT2_V27_19k_4E_xLAN - hard position accuracy,GPT2_V27_19k_4E_xLAN - average correct plies
0,,,,,,,,,,,,,,,,,,
50,,,,,,,0.0154639175257732,0.0,0.0,0.0103092783505155,0.0149253731343284,0.0,0.0,0.0,0.01,0.0,0.0,0.0
100,,,,,,,0.0721649484536082,0.0597014925373134,0.0,0.0979381443298969,0.104477611940299,0.04,0.0257731958762887,0.0,0.0,0.0206185567010309,0.0447761194029851,0.0
150,,,,,,,0.118556701030928,0.134328358208955,0.03,0.0979381443298969,0.0447761194029851,0.03,0.0979381443298969,0.0,0.05,0.0979381443298969,0.0447761194029851,0.04
200,0.0979381443298969,0.0597014925373134,0.01,0.0979381443298969,0.0746268656716418,0.48,0.139175257731959,0.0895522388059701,0.06,0.118556701030928,0.0895522388059701,0.05,0.0670103092783505,0.0149253731343284,0.01,0.103092783505155,0.0597014925373134,0.03
250,0.110824742268041,0.0634328358208955,0.01,0.105670103092783,0.100746268656716,0.505,0.128865979381443,0.0895522388059701,0.21,0.103092783505155,0.0895522388059701,0.02,0.118556701030928,0.0149253731343284,0.06,0.108247422680412,0.0746268656716418,0.0
300,0.123711340206185,0.0671641791044776,0.01,0.11340206185567,0.126865671641791,0.53,0.11340206185567,0.0895522388059701,0.04,0.118556701030928,0.0447761194029851,0.01,0.139175257731959,0.0149253731343284,0.0,0.123711340206186,0.0447761194029851,0.02
350,0.13659793814433,0.0708955223880597,0.01,0.121134020618556,0.152985074626865,0.555,0.15979381443299,0.0746268656716418,0.42,0.154639175257732,0.149253731343284,0.04,0.144329896907216,0.0597014925373134,0.02,0.123711340206186,0.0149253731343284,0.03
400,0.149484536082474,0.0746268656716418,0.01,0.128865979381443,0.17910447761194,0.58,0.195876288659794,0.149253731343284,0.45,0.180412371134021,0.238805970149254,0.23,0.118556701030928,0.0746268656716418,0.02,0.144329896907216,0.0597014925373134,0.09
450,0.168814432989691,0.0858208955223881,0.0075,0.166237113402062,0.212686567164179,0.465,0.206185567010309,0.119402985074627,0.2,0.247422680412371,0.238805970149254,0.32,0.108247422680412,0.0447761194029851,0.01,0.164948453608247,0.0746268656716418,0.04
500,0.188144329896907,0.0970149253731344,0.005,0.203608247422681,0.246268656716418,0.35,0.22680412371134,0.17910447761194,0.29,0.247422680412371,0.283582089552239,0.58,0.164948453608247,0.104477611940299,0.02,0.154639175257732,0.0746268656716418,0.02
550,0.207474226804124,0.108208955223881,0.0025,0.240979381443299,0.279850746268657,0.235,0.262886597938144,0.283582089552239,0.24,0.262886597938144,0.17910447761194,0.32,0.22680412371134,0.134328358208955,0.06,0.185567010309278,0.0895522388059701,0.01
600,0.22680412371134,0.119402985074627,0.0,0.278350515463918,0.313432835820896,0.12,0.27319587628866,0.238805970149254,0.31,0.304123711340206,0.223880597014925,0.29,0.221649484536082,0.134328358208955,0.06,0.180412371134021,0.149253731343284,0.02
650,0.233247422680412,0.119402985074627,0.0075,0.302835051546392,0.313432835820896,0.3975,0.304123711340206,0.223880597014925,0.12,0.304123711340206,0.26865671641791,0.35,0.262886597938144,0.149253731343284,0.02,0.206185567010309,0.0895522388059701,0.0
700,0.239690721649485,0.119402985074627,0.015,0.327319587628866,0.313432835820896,0.675,0.314432989690722,0.283582089552239,0.29,0.293814432989691,0.238805970149254,0.62,0.247422680412371,0.194029850746269,0.08,0.201030927835052,0.119402985074627,0.0
750,0.246134020618557,0.119402985074627,0.0225,0.35180412371134,0.313432835820896,0.9525,0.345360824742268,0.358208955223881,0.61,0.335051546391753,0.328358208955224,0.62,0.314432989690722,0.26865671641791,0.04,0.237113402061856,0.119402985074627,0.0
800,0.252577319587629,0.119402985074627,0.03,0.376288659793814,0.313432835820896,1.23,0.34020618556701,0.283582089552239,0.98,0.350515463917526,0.223880597014925,0.29,0.27319587628866,0.208955223880597,0.01,0.22680412371134,0.194029850746269,0.0
850,0.259020618556701,0.149253731343284,0.0225,0.395618556701031,0.339552238805971,1.55,0.376288659793814,0.373134328358209,1.8,0.376288659793814,0.283582089552239,0.23,0.283505154639175,0.149253731343284,0.01,0.27319587628866,0.223880597014925,0.0
900,0.265463917525774,0.179104477611941,0.015,0.414948453608247,0.365671641791045,1.87,0.38659793814433,0.373134328358209,1.7,0.381443298969072,0.298507462686567,0.89,0.335051546391753,0.208955223880597,0.01,0.268041237113402,0.238805970149254,0.04
950,0.271907216494846,0.208955223880597,0.0075,0.434278350515464,0.39179104477612,2.19,0.417525773195876,0.388059701492537,1.56,0.396907216494845,0.373134328358209,0.71,0.293814432989691,0.223880597014925,0.0,0.27319587628866,0.208955223880597,0.0
1000,0.278350515463918,0.238805970149254,0.0,0.45360824742268,0.417910447761194,2.51,0.407216494845361,0.447761194029851,2.77,0.427835051546392,0.358208955223881,1.16,0.371134020618557,0.238805970149254,0.0,0.298969072164948,0.208955223880597,0.02
1050,0.295103092783506,0.257462686567165,0.01,0.474226804123711,0.447761194029851,2.49,0.422680412371134,0.402985074626866,3.48,0.458762886597938,0.343283582089552,1.6,0.376288659793814,0.328358208955224,0.06,0.304123711340206,0.208955223880597,0.03
1100,0.311855670103093,0.276119402985075,0.02,0.494845360824742,0.477611940298508,2.47,0.510309278350515,0.417910447761194,3.41,0.448453608247423,0.298507462686567,1.96,0.34020618556701,0.283582089552239,0.0,0.288659793814433,0.17910447761194,0.02
