Move History,Number of Plies,Outcome,Result,Player Scores,ACPL White,ACPL Black
Pe2e4- Pd7d5- Pe4d5x Qd8d5x Nb1c3- Qd5d8- Pd2d4- Ng8f6- Ng1f3- Bc8g4- Ph2h3- Bg4f3x Qd1f3x Nb8c6- Bf1b5- Pa7a6- Bb5c6$ Pb7c6x Qf3c6$ Nf6d7- Nc3d5- Pe7e6- Nd5c7$ Ke8e7- Nc7a8x Qd8a8x Qc6a8x Nd7f6- Bc1d2- Pg7g6- Bd2b4+ Ke7d7- Qa8b7+ Kd7e8- Qb7c8+ ,36,checkmate,1-0,"[33, 77, 72, 76, 65, 80, 74, 75, 75, 86, 76, 79, 75, 257, 275, 386, 380, 377, 396, 403, 392, 589, 587, 589, 600, 808, 808, 820, 821, 99995, 99996, 99996, 99997, 99999, 100000]",0.21428571428571427,3.5
Pe2e4- Pd7d6- Pd2d4- Pe7e5- Ng1f3- Pf7f5- Bf1c4- Pf5e4x Nf3e5x Pd6e5x Qd1h5+ Pg7g6- Qh5e5$ Qd8e7- Qe5h8x Qe7b4+ Nb1d2- Qb4c4x Nd2c4x Pb7b5- Qh8g8x Pb5c4x Bc1h6- Bc8e6- Qg8e6$ Bf8e7- Bh6g5- Nb8d7- Qe6e7$ ,30,checkmate,1-0,"[33, 59, 45, 50, 62, 156, 157, 198, 237, 328, 373, 382, 379, 395, 389, 495, 526, 648, 642, 751, 778, 774, 795, 1016, 1039, 1035, 1041, 99999, 100000]",0.6153846153846154,15.76923076923077
Pe2e4- Pf7f5- Pe4f5x Ng8f6- Pd2d4- Pd7d5- Bf1d3- Bc8f5x Bd3f5x Nb8c6- Ng1f3- Pe7e6- Bf5e6x Qd8d6- Be6f5- Nc6d4x Qd1d4x Qd6b4+ Nb1c3- Qb4d4x Nf3d4x Bf8b4- Ke1g1- Ke8g8- Nc3b5- Bb4c5- Bc1e3- Nf6e4- Bf5e6+ Kg8h8- Nb5c7x Bc5d4x Be3d4x Ra8c8- Be6c8x Rf8c8x Nc7d5x Ne4d2- Rf1e1- Nd2e4- Re1e4x Rc8c2x Re4e8+ ,44,checkmate,1-0,"[36, 165, 164, 145, 157, 149, 150, 521, 498, 523, 506, 534, 555, 563, 526, 593, 609, 614, 600, 603, 599, 600, 603, 605, 610, 614, 610, 636, 641, 643, 642, 657, 664, 667, 676, 680, 680, 713, 723, 781, 805, 99999, 100000]",1.35,5.65
Pe2e4- Pa7a5- Nb1c3- Pe7e5- Ng1f3- Nb8c6- Pd2d4- Pe5d4x Nf3d4x Nc6d4x Qd1d4x Pc7c5- Qd4e5+ Qd8e7- Qe5g3- Ng8f6- Bc1g5- Ph7h6- Bg5f6x Pg7f6x Ke1c1- Pd7d6- Bf1b5+ Bc8d7- Nc3d5- Qe7e5- Pf2f4- Qe5d4- Bb5d7$ Ke8d7x Rd1d4x Pc5d4x Qg3b3- Bf8g7- Qb3b7$ Kd7e6- Qb7e7+ ,38,checkmate,1-0,"[33, 73, 92, 91, 74, 118, 93, 114, 128, 153, 171, 317, 307, 331, 308, 333, 320, 339, 330, 387, 378, 428, 413, 415, 396, 610, 590, 689, 710, 712, 704, 760, 1326, 99997, 99998, 99999, 100000]",0.0625,39.875
Pe2e4- Pe7e6- Pd2d4- Pb7b6- Ng1f3- Bc8b7- Bf1d3- Pd7d6- Ke1g1- Ng8f6- Qd1e2- Bf8e7- Pc2c4- Ke8g8- Nb1c3- Nb8d7- Bd3c2- Pc7c5- Pd4d5- Pe6d5x Pe4d5x Nd7e5- Nf3e5x Pd6e5x Qe2e5x Be7d6- Qe5e2- Rf8e8- Qe2d3- Pg7g6- Ph2h3- Bd6e5- Bc2a4- Qd8d6- Ba4e8x Ra8e8x Bc1h6- Be5c3x Qd3c3x Qd6e5- Qc3e5x Re8e5x Rf1e1- Re5e1$ Ra1e1x Nf6d7- Re1e8+ ,48,invalid_move,*,"[33, 37, 29, 82, 78, 74, 84, 108, 96, 99, 105, 102, 113, 101, 116, 113, 119, 138, 141, 141, 137, 226, 221, 223, 236, 230, 240, 243, 240, 242, 243, 260, 267, 347, 373, 378, 380, 503, 514, 518, 517, 517, 516, 571, 584, 99998, 99999]",1.2727272727272727,6.090909090909091
Pe2e4- Pe7e6- Pd2d4- Bf8e7- Qd1g4- Pd7d6- Qg4g7x Be7f6- Qg7g3- Pe6e5- Pd4e5x Pd6e5x Nb1c3- Qd8d4- Bc1e3- Qd4d6- Ra1d1- Qd6b4- Pa2a3- Qb4b2x Nc3d5- Bf6h4- Nd5c7$ Ke8e7- Be3c5+ Ke7f6- Nc7e8+ Kf6e6- Bf1c4+ ,30,checkmate,1-0,"[33, 41, 38, 78, 62, 97, 90, 91, 110, 215, 223, 234, 226, 322, 349, 351, 376, 379, 405, 383, 401, 99996, 99997, 99997, 99998, 99998, 99999, 99999, 100000]",2.2,12.3
Pe2e4- Pe7e5- Ng1f3- Pd7d5- Pe4d5x Qd8d5x Nb1c3- Qd5d8- Nf3e5x Nb8c6- Bf1b5- Bc8d7- Bb5c6x Bd7c6x Ne5c6x Pb7c6x Ke1g1- Bf8d6- Qd1g4- Ng8f6- Qg4g7x Rh8g8- Rf1e1+ Bd6e7- Qg7f6x Qd8d7- Re1e7$ Qd7e7x Qf6c6$ Qe7d7- Qc6a8$ Qd7d8- Qa8e4+ Qd8e7- Qe4e7$ Ke8e7x Pg2g3- Rg8d8- Kg1g2- Rd8d2x Bc1d2x Pc7c5- Kg2f3- Pc5c4- Pg3g4- Pa7a5- Nc3e4- Pa5a4- Bd2g5+ Ke7e6- Ra1d1- Pa4a3- Rd1d6+ Ke6e5- Bg5f4+ ,56,checkmate,1-0,"[31, 31, 30, 95, 79, 110, 118, 157, 146, 236, 227, 242, 227, 241, 236, 229, 241, 235, 224, 357, 384, 427, 408, 558, 551, 634, 642, 636, 645, 678, 694, 694, 690, 692, 697, 696, 701, 706, 708, 775, 800, 803, 810, 814, 835, 838, 842, 880, 912, 99993, 99994, 99998, 99999, 99999, 100000]",0.8333333333333334,7.541666666666667
Pe2e4- Pe7e6- Pd2d4- Pg7g6- Ph2h4- Ph7h5- Nb1c3- Pa7a6- Ng1f3- Bf8g7- Bf1d3- Ng8e7- Ke1g1- Pb7b5- Pe4e5- Nb8c6- Bc1g5- Nc6b4- Bd3e4- Pd7d5- Pe5d6x Pc7d6x Be4a8x Ke8g8- Bg5e7x Qd8e7x Pa2a3- Nb4c6- Ba8c6x Qe7c7- Bc6e4- Bc8b7- Be4b7x Qc7b7x Rf1e1- Qb7c7- Pa3a4- Pb5b4- Nc3e4- Pd6d5- Ne4c5- Pa6a5- Nc5d3- Bg7d4x Nf3d4x Qc7b6- Nd3e5- Rf8c8- Qd1f3- Rc8c2x Qf3f7$ Kg8h8- Ne5g6$ ,54,checkmate,1-0,"[26, 31, 35, 102, 112, 138, 149, 147, 146, 157, 174, 168, 164, 169, 170, 231, 259, 253, 271, 508, 471, 509, 510, 521, 507, 500, 512, 575, 552, 547, 575, 639, 630, 642, 641, 639, 635, 624, 620, 612, 612, 644, 626, 686, 695, 717, 742, 748, 761, 99998, 99999, 99999, 100000]",1.9583333333333333,7.375
Pe2e4- Pe7e6- Pd2d4- Pd7d6- Ng1f3- Ng8f6- Bf1d3- Bf8e7- Pc2c3- Pb7b6- Pc3c4- Bc8b7- Nb1c3- Nb8d7- Qd1e2- Ph7h6- Bd3c2- Pa7a6- Pe4e5- Pd6e5x Pd4e5x Nf6g4- Bc1f4- Bb7f3x Pg2f3x Ng4e5x Bf4e5x Nd7e5x Qe2e5x Qd8d4- Qe5d4x Be7f6- Qd4e4- Ke8g8- Qe4h7+ ,36,checkmate,1-0,"[33, 51, 30, 78, 78, 75, 80, 84, 68, 89, 91, 98, 93, 94, 87, 127, 137, 152, 143, 162, 159, 192, 219, 278, 259, 363, 355, 352, 354, 666, 682, 674, 682, 99999, 100000]",0.875,4.375
Pe2e4- Pe7e5- Ng1f3- Pc7c6- Nf3e5x Pd7d5- Pd2d4- Pd5e4x Bf1c4- Ng8f6- Bc4f7$ Ke8e7- Ke1g1- Qd8d6- Bc1f4- Qd6d8- Rf1e1- Qd8d4x Qd1d4x Pc6c5- Qd4c5$ Ke7d8- Qc5c4- Bf8e7- Nb1c3- Nb8c6- Ne5c6$ Pb7c6x Qc4c6x Ra8b8- Qc6c7+ ,32,checkmate,1-0,"[26, 36, 28, 111, 110, 154, 168, 328, 334, 362, 377, 387, 388, 404, 404, 502, 493, 778, 830, 883, 869, 882, 919, 979, 1075, 99995, 99996, 99996, 99997, 99999, 100000]",0.0,18.416666666666668
