Move History,Number of Plies,Outcome,Result,Player Scores,ACPL White,ACPL Black
Pd2d4- Pd7d5- Pc2c4- Pc7c6- Pc4d5x Pc6d5x Nb1c3- Ng8f6- Pe2e3- Pe7e6- Ng1f3- Bf8d6- Bf1d3- Ke8g8- Ke1g1- Nb8c6- Pa2a3- Pa7a6- Pb2b4- Pb7b5- Bc1b2- Bc8b7- Ra1c1- Ra8c8- Nc3e2- Nc6e7- Ne2g3- Ne7g6- Nf3e5- Bd6e5x Pd4e5x Nf6d7- Pf2f4- Pf7f6- Pe5f6x Nd7f6x Bb2f6x Qd8f6x Qd1e2- Rc8c1x Rf1c1x Rf8c8- Rc1c8$ Bb7c8x Pf4f5- Pe6f5x Ng3f5x Bc8f5x Bd3f5x Qf6f5x Qe2f3- Qf5b1+ Kg1f2- Qb1c2+ Kf2g3- Qc2b2- Qf3d5$ Kg8h8- Qd5d8+ Ng6f8- Qd8f8$ ,62,checkmate,1-0,"[31, 32, 40, 35, 23, 27, 32, 36, 16, 22, 13, 29, 28, 21, 24, 14, -17, 30, -14, 51, 9, 1, -1, 5, -13, 6, -19, 11, -6, 145, 81, 139, 133, 225, 200, 214, 78, 72, 42, 38, 31, 59, 88, 96, -54, -53, -457, -469, -498, -494, -522, -489, -499, -491, -490, -253, -253, 99998, 99999, 99999, 100000]",1.8571428571428572,1.6428571428571428
Pe2e4- Pc7c5- Pd2d3- Pd7d5- Pf2f4- Pd5e4x Pd3e4x Qd8d1$ Ke1d1x Nb8c6- Ng1f3- Bc8g4- Bf1b5- Ke8c8+ Kd1e2- Pe7e6- Bb5c6x Pb7c6x Ph2h3- Bg4f3$ Pg2f3x Ng8f6- Pc2c3- Nf6h5- Pb2b4- Pc5b4x Pc3b4x Bf8b4x Bc1b2- Rd8d2+ Nb1d2x Bb4d2x Ra1d1- Bd2f4x Rd1d8+ Rh8d8x Rh1d1- Rd8d1x Ke2d1x Bf4e5- Bb2e5x Nh5g3- Be5g3x Pf7f5- Pe4f5x Pe6f5x Kd1e2- Kc8d7- Ke2e3- Kd7e6- Ke3f4- Pg7g6- Ph3h4- Ph7h5- Kf4g5- Ke6f7- Kg5h6- Kf7g8- Kh6g6x Kg8f8- Kg6f5x Kf8e7- Kf5g5- Ke7e6- Kg5h5x Ke6d5- Kh5g5- Kd5c4- Kg5f5- Kc4b4- Kf5e5- Kb4a3- Ke5d4- Ka3a2x Kd4c5- Ka2b3- Kc5c6x Kb3b4- Kc6b7- Kb4b5- Kb7a7x Kb5c6- Ka7a6- ,84,invalid_move,*,"[33, 28, -3, 36, -3, 17, 20, 7, 8, 11, 7, 22, -1, 9, -431, 87, 95, 104, 107, 107, 22, 32, -41, -27, -418, -219, -434, -267, -547, 346, 361, 467, 150, 159, -516, -530, -530, -536, -535, -337, -352, 357, 365, 357, 332, 352, 324, 325, 320, 340, 347, 359, 378, 502, 521, 528, 519, 580, 599, 628, 573, 785, 626, 795, 523, 716, 723, 796, 790, 815, 743, 813, 773, 813, 744, 99986, 704, 99981, 728, 99982, 99984, 99988, 854]",2.2051282051282053,3.526315789473684
Pe2e4- Pe7e6- Pd2d4- Pc7c5- Pc2c3- Pc5d4x Pc3d4x Nb8c6- Nb1c3- Pd7d5- Pe4e5- Ng8e7- Ng1f3- Ne7f5- Bf1d3- Bf8b4- Bd3f5x Pe6f5x Ke1g1- Ke8g8- Bc1g5- Qd8b6- Pa2a3- Bb4c3x Pb2c3x Bc8e6- Ra1b1- Qb6a5- Qd1d2- Pb7b6- Rf1e1- Ra8c8- Rb1c1- Nc6e7- Bg5e7x Rf8e8- Be7b4- Qa5a6- Bb4d6- Rc8c4- Rc1b1- Re8c8- Rb1c1- Rc4a4- Rc1b1- Rc8c4- Rb1b4- Ra4a3x Rb4c4x Pd5c4x Qd2c2- Ra3a1- Re1a1x Qa6a1$ Qc2d1- Qa1d1$ Nf3e1- Qd1e1$ ,59,checkmate,0-1,"[30, 46, 39, 69, 34, 35, 36, 48, 36, 33, 42, 41, 44, 42, -40, 115, 39, 36, 50, 55, 70, 292, -12, -3, -13, 82, 89, 96, 39, 158, 35, 110, -13, 463, 455, 464, 463, 482, 470, 489, 439, 413, 407, 485, 412, 455, 418, 495, 511, 556, 314, 307, -99997, -99998, -99998, -99999, -99999, -100000]",1.6153846153846154,2.6
Pe2e4- Pe7e6- Pd2d4- Pd7d5- Pc2c4- Pd5e4x Nb1c3- Ng8f6- Bc1g5- Bf8e7- Bg5f6x Be7f6x Nc3e4x Bf6e7- Ng1f3- Ke8g8- Bf1d3- Pc7c5- Pd4d5- Pe6d5x Pc4d5x Bc8f5- Ke1g1- Bf5e4x Bd3e4x Nb8d7- Rf1e1- Nd7f6- Be4c2- Qd8d5x Qd1d5x Nf6d5x Bc2b3- Nd5f4- Ra1d1- Be7f6- Rd1d7- Ra8d8- Rd7b7x Rd8d2- Nf3d2x Nf4e2+ Kg1f1- Ne2d4- Bb3f7$ Rf8f7x Re1e8+ Rf7f8- Re8f8$ Kg8f8x Rb7a7x Nd4c6- Ra7c7- Nc6d4- Rc7c5x Nd4e6- Rc5c8+ Kf8f7- Rc8c6- Ne6d4- Rc6c7+ Kf7e6- Rc7g7x Ke6f5- Rg7h7x Kf5g6- Rh7h3- Kg6g5- Rh3g3+ Kg5f5- Ph2h4- Nd4e6- Ph4h5- Ne6g5- Ph5h6- Ng5h7- ,77,invalid_move,*,"[29, 54, 36, 36, -67, -81, -75, -66, -81, -82, -169, -165, -192, -6, -12, -4, -32, 33, -56, 13, 3, 20, -94, 15, 12, 69, 8, 4, -28, 441, 157, 165, 157, 409, -18, -24, -113, 17, 9, 513, 537, 648, 548, 557, 522, 526, 542, 548, 527, 533, 514, 526, 527, 541, 516, 521, 529, 546, 537, 524, 523, 532, 74, 553, 574, 567, 551, 564, 580, 564, 519, 594, 529, 570, 536, 573]",1.605263157894737,2.4864864864864864
Pe2e4- Pe7e5- Pd2d3- Pd7d6- Pc2c4- Nb8c6- Nb1c3- Ng8f6- Pf2f4- Bf8e7- Ng1f3- Ke8g8- Bf1e2- Bc8g4- Ke1g1- Pe5f4x Bc1f4x Nc6d4- Nf3d4x Bg4e2x Qd1e2x Pc7c5- Nd4f5- Pg7g6- Nf5h6+ Kg8g7- Nh6g4- Nf6g4x Qe2g4x Be7f6- Bf4d6x Rf8e8- Bd6c5x Re8e5- Bc5d4- Re5g5- Qg4f4- Rg5h5- Pg2g4- Rh5h4- Qf4f6$ Qd8f6x Bd4f6$ ,44,invalid_move,*,"[30, 26, -7, 21, 17, 19, 21, 42, 6, 49, 11, 39, 38, 34, 33, 62, 48, 544, 544, 543, 544, 635, 626, 673, 581, 589, 527, 514, 494, 528, 36, 539, 512, 535, 245, 567, 294, 892, 242, 898, 771, 785, 787]",1.0476190476190477,0.23809523809523808
Pd2d4- Pd7d5- Pc2c3- Pc7c6- Pe2e3- Ng8f6- Pf2f4- Bc8g4- Ng1f3- Bg4f3x Qd1f3x Pe7e6- Bf1d3- Bf8d6- Ke1g1- Nb8d7- Nb1d2- Qd8c7- Pe3e4- Pd5e4x Nd2e4x Nf6e4x Bd3e4x Ke8c8- Bc1e3- Pf7f5- Be4d3- Pg7g6- Ra1e1- Ph7h5- Pb2b4- Ph5h4- Pa2a4- Ph4h3- Pg2g3- Nd7f6- Pa4a5- Nf6g4- Be3d2- Rh8h5- Pa5a6- Pb7b6- Pb4b5- Pc6c5- Pd4c5x Bd6c5$ Kg1h1- Ng4f2+ Rf1f2x Bc5f2x Re1e6x Bf2c5- Bd3f5x Rd8d2x Bf5g6x Rh5h6- Bg6f5- Rh6f6- Re6f6$ Kc8b8- Rf6c6- Qc7e7- Qf3d5- Qe7e1+ ,65,checkmate,0-1,"[31, 27, 11, 16, -23, -4, -60, -36, -38, 40, 35, 28, 33, 33, 37, 57, 41, 58, 21, 14, 18, 20, 26, 66, 31, 28, 26, 68, 57, 103, 61, 102, 52, 99, 87, 108, 76, 127, 98, 232, 250, 360, 279, 326, -93, -109, -91, 96, 100, 154, 127, 350, -144, 99999, 67, 99995, -283, 99999, 516, 589, 465, 99999, -99999, -100000]",5.551724137931035,4.714285714285714
Pd2d4- Pd7d5- Pe2e3- Pc7c6- Pc2c4- Ng8f6- Nb1c3- Pe7e6- Pc4d5x Pe6d5x Ng1f3- Bf8d6- Bf1d3- Ke8g8- Ke1g1- Bc8g4- Ph2h3- Bg4h5- Pg2g4- Bh5g6- Nf3e5- Bd6e5x Pd4e5x Nf6d7- Pf2f4- Pf7f6- Pe5f6x Nd7f6x Pf4f5- Bg6f7- Pe3e4- Pd5e4x Nc3e4x Nf6e4x Bd3e4x Qd8b6+ Kg1g2- Nb8d7- Bc1e3- Qb6b2$ Kg2g3- Qb2e5+ Kg3f3- Nd7f6- Be4c2- Nf6d5- Be3d4- Qe5f4+ Kf3g2- Nd5e3+ Bd4e3x Qf4e3x Qd1d3- Qe3g5- Ra1e1- Ra8d8- Qd3c4- Rd8d2+ Kg2h1- Qg5h4- Re1e7- Qh4h3$ Kh1g1- Qh3g2+ ,65,checkmate,0-1,"[31, 32, 16, 31, 18, 24, 26, 38, -10, -12, -26, -32, -22, -21, -22, -24, -11, -12, -31, -29, -27, 11, 14, 46, 16, 220, 21, 33, 52, 48, -35, 4, -49, -15, -14, -13, -45, -29, -434, -82, -144, -159, -457, -308, -512, -239, -386, -181, -146, -106, -111, -106, -196, -118, -163, -173, -639, -588, -829, -476, -99998, -99999, -99999, -100000]",1.3333333333333333,2.9310344827586206
Pd2d4- Pe7e6- Pe2e3- Pd7d5- Pc2c4- Pc7c5- Nb1c3- Pc5d4x Pe3d4x Ng8f6- Ng1f3- Bf8b4- Bf1d3- Ke8g8- Ke1g1- Nb8c6- Pc4d5x Pe6d5x Bc1g5- Bc8g4- Ph2h3- Bg4h5- Pa2a3- Bb4c3x Pb2c3x Rf8e8- Rf1e1- Qd8d7- Bg5f6x Pg7f6x Qd1d2- Re8e1$ Ra1e1x Ra8e8- Re1e8$ Qd7e8x Qd2h6- Qe8e1+ Kg1h2- Qe1c3x Qh6f6x Qc3d3x Qf6g5+ Kg8f8- Qg5h5x Qd3d4x Qh5h7x Qd4f6- Qh7d3- Nc6e5- Nf3e5x Qf6e5$ Pg2g3- Qe5e6- Qd3d4- Qe6c6- Qd4a7x Qc6c3- Qa7b7x Qc3a3x Qb7d5x Qa3e7- Qd5f5- Qe7e6- Qf5f4- Qe6g6- Qf4h4- Qg6e6- Qh4f4- Qe6g6- Qf4h4- Qg6e6- Qh4f4- Qe6g6- Qf4e5- Qg6e6- Qe5f4- Qe6g6- Qf4f5- Qg6f5x Ph3h4- Qf5g6- Ph4h5- Qg6h6- Kh2h3- Qh6h5$ Kh3g2- Qh5g6- Pf2f4- Qg6e6- Kg2f3- Qe6f6- Kf3g4- Qf6g6+ Kg4f3- Qg6f6- Kf3g4- Qf6g6+ Kg4f3- Qg6f6- Kf3g4- Qf6g6+ Kg4f3- Qg6f6- Kf3g4- Qf6g6+ Kg4f3- Qg6f6- ,109,fivefold_repetition,1/2-1/2,"[31, 36, 21, 17, 19, 19, 17, 23, 30, 29, 22, 21, 16, 24, 22, 46, 34, 35, 42, 79, -27, 51, -35, -19, -15, 9, -37, 50, 30, 21, -39, 77, -34, 58, 59, 66, 31, 585, 551, 99996, -284, -305, -462, -16, -16, 572, -4, 0, -12, 0, -28, -28, -32, 8, 3, 35, 70, 91, 69, 290, 296, 295, 291, 528, 291, 328, 298, 326, 308, 316, 312, 324, 0, 331, 331, 560, 0, 331, -590, -658, -99988, -798, -1130, -1131, -99976, -99987, -99988, -99966, -99973, -99974, -99976, -99974, -99976, -99980, -99985, -99971, -99984, -99987, -99987, 0, -99986, 0, -99987, 0, -99987, 0, -99987, 0]",90.53488372093024,86.72093023255815
Pd2d4- Pd7d5- Pc2c3- Pc7c5- Pe2e3- Nb8c6- Pf2f4- Pe7e6- Ng1f3- Ng8f6- Bf1d3- Bf8e7- Ke1g1- Ke8g8- Nb1d2- Pb7b6- Nf3e5- Bc8b7- Nd2f3- Ra8c8- Nf3g5- Ph7h6- Ng5h3- Nf6e4- Bd3e4x Pd5e4x Qd1g4- Pf7f5- Qg4g6- Be7f6- Ne5c6x Bb7c6x Nh3f2- Bc6d5- Pc3c4- Bd5c6- Pd4d5- Pe6d5x Pc4d5x Bc6d5x Bc1d2- Qd8e7- Ra1d1- Rf8d8- Bd2c3- Bf6c3x Pb2c3x Qe7e6- Rd1d5x Rd8d5x Rf1d1- Rc8d8- Rd1d5x Rd8d5x Qg6e6$ Kg8h7- Qe6d5x Kh7g6- Qd5e6+ Kg6h7- Qe6f5$ Kh7g8- Qf5e4x Kg8f7- Qe4d5+ Kf7f6- Qd5e5+ Kf6f7- Qe5g7$ Kf7e6- Qg7h6$ Ke6d5- Qh6g5+ Kd5c6- Qg5e5- Kc6b7- Qe5d5+ Kb7a6- Qd5c6- Ka6a5- Qc6b5+ Ka5b5x Pa2a4+ Kb5a4x Pc3c4- Ka4b3- Pe3e4- Kb3c4x Pe4e5- Kc4d5- Pe5e6- Kd5e6x Pf4f5+ Ke6f5x Pg2g4+ ,96,invalid_move,*,"[31, 27, 11, 40, -9, 35, -34, -15, -13, -10, -15, 3, -14, 8, 6, 7, 1, 8, -49, -38, -30, -35, -39, -38, -172, -174, -197, -184, -189, -190, -239, -235, -246, -210, -428, -316, -347, -237, -305, -271, -376, -277, -348, -239, -300, -300, -294, -268, -515, 667, -713, 673, -419, 692, 721, 747, 790, 810, 99990, 99990, 99992, 99994, 755, 776, 784, 99994, 99994, 99994, 541, 1040, 881, 1043, 957, 992, 906, 988, 960, 1096, 99989, 99996, 568, 581, 578, 672, 577, 687, 407, 666, 504, 504, 287, 300, 153, 155, 182]",47.58139534883721,35.73809523809524
Pe2e4- Pd7d6- Pd2d4- Pc7c6- Pc2c4- Nb8d7- Nb1c3- Qd8c7- Ng1f3- Pe7e5- Bf1e2- Ng8f6- Ke1g1- Bf8e7- Pd4e5x Pd6e5x Bc1e3- Ke8g8- Qd1c2- Rf8e8- Ra1d1- Nd7f8- Pb2b3- Nf8g6- Nc3a4- Bc8g4- Ph2h3- Bg4f3x Be2f3x Ra8d8- Rd1d8x Re8d8x Rf1d1- Rd8d1$ Qc2d1x Ng6f4- Be3f4x Pe5f4x Qd1c2- Qc7e5- Pg2g3- Pf4g3x Pf2g3x Qe5g3$ Kg1f1- Qg3f3$ Kf1e1- Qf3e3+ Ke1d1- Qe3d4+ Kd1c1- Qd4a1+ Kc1d2- Qa1d4+ Kd2c1- Qd4a1+ Kc1d2- Qa1d4+ Kd2c1- Qd4a1+ Kc1d2- Qa1d4+ Kd2c1- Qd4a1+ Kc1d2- Qa1d4+ Kd2c1- ,68,fivefold_repetition,1/2-1/2,"[39, 63, 55, 68, 70, 80, 78, 96, 98, 102, 100, 115, 91, 90, 2, 7, -5, 14, 6, 10, -5, -2, -26, -4, -30, 28, 31, 32, 37, 135, 116, 139, 8, 3, 0, 33, -14, -7, -59, -50, -401, -432, -431, -433, -603, -583, -99991, -594, -640, -592, -624, -615, -612, -589, -672, -589, -627, 0, -666, 0, -614, 0, -680, 0, -612, 0, -697]",106.27272727272727,105.46875
