Move History,Number of Plies,Outcome,Result,Player Scores,ACPL White,ACPL Black
Pe2e4- Pd7d5- Pe4d5x Pc7c5- Nb1c3- Bc8f5- Pd2d4- Pc5d4x Qd1d4x Nb8d7- Bc1f4- Ng8f6- Ke1c1- Pe7e6- Bf1b5- Bf8b4- Qd4b4x Pa7a6- Pd5e6x Pa6b5x Pe6d7$ Qd8d7x Rd1d7x Nf6d7x Nc3d5- Nd7f6- Qb4e7+ ,28,checkmate,1-0,"[33, 68, 70, 155, 154, 228, 224, 225, 225, 239, 238, 236, 225, 225, 237, 593, 571, 570, 598, 640, 650, 711, 740, 99996, 99997, 99999, 100000]",0.2727272727272727,7.363636363636363
Pe2e4- Pe7e5- Ng1f3- Pc7c6- Nf3e5x Pd7d5- Pd2d4- Pd5e4x Bf1c4- Bc8f5- Bc4f7$ Ke8e7- Bf7g8x Rh8g8x Bc1g5+ Ke7e8- Bg5d8x Ke8d8x Qd1h5- Bf8b4+ Pc2c3- Bb4a5- Qh5f5x Ba5b6- Nb1d2- Nb8d7- Qf5d7$ ,28,checkmate,1-0,"[29, 30, 23, 123, 116, 173, 183, 346, 315, 629, 646, 619, 616, 599, 599, 611, 608, 614, 606, 655, 664, 747, 767, 804, 868, 99999, 100000]",3.6666666666666665,10.0
Pe2e4- Pe7e5- Ng1f3- Ph7h5- Nf3e5x Pd7d6- Ne5f3- Bc8g4- Nb1c3- Nb8c6- Pd2d4- Nc6d4x Qd1d4x Bg4f3x Pg2f3x Qd8f6- Qd4a4+ Pc7c6- Bf1e2- Qf6f3x Be2f3x Ke8c8- Qa4a7x Pd6d5- Pe4d5x Bf8b4- Pd5c6x Pb7c6x Bc1f4- Ng8f6- Qa7c7+ ,32,checkmate,1-0,"[29, 34, 29, 182, 182, 188, 190, 259, 250, 246, 242, 535, 522, 557, 557, 551, 543, 544, 529, 694, 712, 736, 758, 935, 950, 989, 99992, 99992, 99993, 99999, 100000]",0.7692307692307693,4.75
Pe2e4- Pd7d6- Pd2d4- Pf7f6- Nb1c3- Pe7e5- Bf1e2- Ng8e7- Ng1f3- Ne7g6- Ph2h4- Ng6h4x Nf3h4x Pg7g5- Be2h5+ Ke8d7- Bh5g4+ Kd7c6- Pd4d5+ Kc6b6- Bc1e3+ Kb6a6- Qd1e2+ Ka6a5- Qe2b5+ ,26,checkmate,1-0,"[33, 63, 48, 162, 165, 158, 136, 159, 164, 201, 215, 561, 547, 680, 687, 683, 663, 99995, 99996, 99996, 99997, 99998, 99999, 99999, 100000]",1.375,3.625
Pe2e4- Pe7e5- Ng1f3- Bf8b4- Pc2c3- Bb4a5- Nf3e5x Pb7b6- Pb2b4- Ba5b4x Pc3b4x Pd7d6- Bf1b5+ Pc7c6- Ne5c6x Nb8c6x Bb5c6$ Bc8d7- Bc6d7$ Qd8d7x Bc1b2- Ng8f6- Ke1g1- Nf6e4x Rf1e1- Ke8g8- Re1e4x Rf8e8- Re4d4- Re8e5- Nb1c3- Pa7a6- Nc3d5- Pb6b5- Nd5b6- Qd7b7- Nb6a8x Qb7a8x Rd4d6x Qa8a7- Rd6d8+ ,42,invalid_move,*,"[33, 35, 27, 146, 138, 194, 210, 453, 465, 459, 459, 531, 521, 594, 599, 591, 581, 584, 589, 546, 535, 545, 554, 554, 551, 556, 561, 570, 576, 572, 582, 581, 597, 631, 649, 659, 665, 670, 695, 99998, 99999]",3.263157894736842,7.0
Pe2e4- Pa7a6- Pd2d4- Pg7g6- Pc2c4- Bf8g7- Bf1e2- Pb7b6- Nb1c3- Bc8b7- Ph2h4- Ph7h5- Ng1h3- Pd7d6- Bc1e3- Pe7e6- Ke1g1- Ng8e7- Pf2f4- Nb8d7- Pd4d5- Pe6e5- Pf4f5- Pg6f5x Pe4f5x Pf7f6- Nh3g5- Nd7f8- Be2h5$ Ne7g6- Pf5g6x Nf8g6x Ng5e6- Qd8e7- Bh5g6$ Ke8d7- Qd1g4- Ra8g8- Ne6c5+ ,40,invalid_move,*,"[35, 60, 66, 73, 80, 74, 77, 96, 97, 108, 111, 105, 112, 112, 105, 132, 130, 150, 145, 162, 169, 177, 208, 216, 223, 389, 442, 522, 544, 602, 603, 716, 769, 797, 781, 773, 771, 99998, 99999]",1.1111111111111112,11.166666666666666
Pe2e4- Pe7e5- Ng1f3- Ng8h6- Nf3e5x Qd8f6- Ne5f3- Bf8c5- Pd2d4- Bc5b6- Pa2a4- Pa7a5- Nb1c3- Nb8c6- Nc3d5- Qf6g6- Ra1a3- Nc6b4- Nd5b6x Pc7b6x Bf1b5- Ke8g8- Ke1g1- Qg6e4x Bc1h6x Pg7h6x Nf3e5- Qe4d5- Qd1g4+ Kg8h8- Ra3g3- Pd7d6- Qg4g7+ ,34,checkmate,1-0,"[36, 36, 23, 196, 188, 265, 261, 303, 316, 338, 304, 332, 355, 337, 353, 337, 323, 368, 379, 376, 366, 345, 360, 376, 439, 433, 446, 99996, 99997, 99997, 99998, 99999, 100000]",4.923076923076923,11.846153846153847
Pe2e4- Pe7e6- Pd2d4- Pc7c5- Pd4d5- Pe6d5x Pe4d5x Ng8f6- Pc2c4- Pd7d6- Nb1c3- Bf8e7- Bf1d3- Ke8g8- Ph2h3- Nb8a6- Ng1f3- Na6b4- Bd3b1- Rf8e8- Ke1g1- Be7f8- Bc1g5- Re8e7- Pa2a3- Nb4a6- Qd1d3- Ph7h6- Bg5f6x Pg7f6x Qd3h7+ ,32,checkmate,1-0,"[34, 46, 37, 60, 61, 91, 90, 92, 93, 94, 114, 134, 104, 122, 130, 152, 157, 195, 176, 177, 184, 203, 200, 478, 459, 527, 548, 579, 572, 99999, 100000]",0.0,4.5
Pe2e4- Pg7g5- Nb1c3- Pc7c5- Pd2d4- Qd8a5- Ph2h4- Pg5h4x Bc1d2- Pc5d4x Nc3d5- Qa5d8- Bd2f4- Bf8g7- Bf4c7- ,16,invalid_move,*,"[33, 186, 184, 211, 203, 218, 183, 241, 235, 230, 227, 222, 224, 498, 491]",1.4285714285714286,0.2857142857142857
Pe2e4- Pc7c6- Pd2d4- Pd7d5- Pe4e5- Bc8f5- Pg2g4- Bf5e4- Pf2f3- Be4g6- Pe5e6- Pf7e6x Ph2h4- Ng8f6- Ph4h5- Bg6f7- Pf3f4- Nf6g4x Qd1g4x Nb8d7- Ng1f3- Nd7f6- Qg4g5- Nf6e4- Qg5g2- Ne4f6- Qg2g5- Nf6e4- Qg5g1- Ne4f6- Bf1d3- Qd8b6- Nf3e5- Bf7h5x Nb1c3- Ke8c8- Bc1d2- Rd8d6- Nc3a4- Qb6a5- Bd2a5x Pb7b6- Bd3a6+ Kc8b8- Ba5b4- Pc6c5- Pd4c5x Pb6c5x Na4c5x Bh5f3- Ne5f3x Nf6e4- Nf3e5- Pg7g6- Nc5d7+ Kb8c7- Qg1a7$ Kc7d8- Qa7b8+ ,60,checkmate,1-0,"[33, 38, 26, 48, 29, 25, 16, 30, 0, 0, 4, 51, 26, 53, 42, 42, 60, 369, 403, 386, 374, 402, 368, 388, 376, 374, 377, 368, 351, 347, 362, 372, 371, 392, 380, 399, 383, 422, 416, 698, 693, 717, 712, 698, 694, 787, 829, 841, 872, 898, 900, 973, 1009, 99992, 99994, 99998, 99999, 99999, 100000]",1.9230769230769231,7.115384615384615
