train/global_step,GPT2_V32_350k_4E_xLAN - legal piece moves accuracy,GPT2_V32_350k_4E_xLAN - hard position accuracy,GPT2_V32_350k_4E_xLAN - average correct plies,GPT2_V31_350k_4E_xLANplus - legal piece moves accuracy,GPT2_V31_350k_4E_xLANplus - hard position accuracy,GPT2_V31_350k_4E_xLANplus - average correct plies,GPT2_V30_71k_4E_xLANplus - legal piece moves accuracy,GPT2_V30_71k_4E_xLANplus - hard position accuracy,GPT2_V30_71k_4E_xLANplus - average correct plies,GPT2_V29_19k_4E_xLANplus - legal piece moves accuracy,GPT2_V29_19k_4E_xLANplus - hard position accuracy,GPT2_V29_19k_4E_xLANplus - average correct plies,GPT2_V28_71k_4E_xLAN - legal piece moves accuracy,GPT2_V28_71k_4E_xLAN - hard position accuracy,GPT2_V28_71k_4E_xLAN - average correct plies,GPT2_V27_19k_4E_xLAN - legal piece moves accuracy,GPT2_V27_19k_4E_xLAN - hard position accuracy,GPT2_V27_19k_4E_xLAN - average correct plies
50,,,,,,,0.015463917525773200,0,0,0.010309278350515500,0.014925373134328400,0,0,0,0.01,0,0,0
100,,,,,,,0.07216494845360820,0.05970149253731340,0,0.0979381443298969,0.1044776119402990,0.04,0.02577319587628870,0,0,0.020618556701030900,0.04477611940298510,0
150,,,,,,,0.11855670103092800,0.13432835820895500,0.03,0.0979381443298969,0.04477611940298510,0.03,0.0979381443298969,0,0.05,0.0979381443298969,0.04477611940298510,0.04
200,0.0979381443298969,0.05970149253731340,0.01,0.0979381443298969,0.07462686567164180,0.48,0.13917525773195900,0.08955223880597010,0.06,0.11855670103092800,0.08955223880597010,0.05,0.06701030927835050,0.014925373134328400,0.01,0.10309278350515500,0.05970149253731340,0.03
250,,,,,,,0.12886597938144300,0.08955223880597010,0.21,0.10309278350515500,0.08955223880597010,0.02,0.11855670103092800,0.014925373134328400,0.06,0.10824742268041200,0.07462686567164180,0
300,,,,,,,0.1134020618556700,0.08955223880597010,0.04,0.11855670103092800,0.04477611940298510,0.01,0.13917525773195900,0.014925373134328400,0,0.12371134020618600,0.04477611940298510,0.02
350,,,,,,,0.15979381443299000,0.07462686567164180,0.42,0.15463917525773200,0.14925373134328400,0.04,0.14432989690721600,0.05970149253731340,0.02,0.12371134020618600,0.014925373134328400,0.03
400,0.14948453608247400,0.07462686567164180,0.01,0.12886597938144300,0.1791044776119400,0.58,0.1958762886597940,0.14925373134328400,0.45,0.18041237113402100,0.23880597014925400,0.23,0.11855670103092800,0.07462686567164180,0.02,0.14432989690721600,0.05970149253731340,0.09
450,,,,,,,0.20618556701030900,0.11940298507462700,0.2,0.24742268041237100,0.23880597014925400,0.32,0.10824742268041200,0.04477611940298510,0.01,0.16494845360824700,0.07462686567164180,0.04
500,,,,,,,0.2268041237113400,0.1791044776119400,0.29,0.24742268041237100,0.2835820895522390,0.58,0.16494845360824700,0.1044776119402990,0.02,0.15463917525773200,0.07462686567164180,0.02
